"product_id","product_name","primary_packshot","lifestyle_image","supplement_facts_panel","label_closeup"
"core-recovery-turmeric-gummies","Core Recovery Turmeric Gummies","assets/products/core-recovery-turmeric-gummies/primary.avif","assets/products/core-recovery-turmeric-gummies/lifestyle.avif","assets/products/core-recovery-turmeric-gummies/supplement-facts.avif","assets/products/core-recovery-turmeric-gummies/label-closeup.avif"
"core-recovery-lipid-balance-capsules","Core Recovery Lipid Balance Capsules","assets/products/core-recovery-lipid-balance-capsules/primary.avif","assets/products/core-recovery-lipid-balance-capsules/lifestyle.avif","assets/products/core-recovery-lipid-balance-capsules/supplement-facts.avif","assets/products/core-recovery-lipid-balance-capsules/label-closeup.avif"
"core-recovery-cbd-muscle-relief-liquid","Core Recovery CBD Muscle Relief Liquid","assets/products/core-recovery-cbd-muscle-relief-liquid/primary.avif","assets/products/core-recovery-cbd-muscle-relief-liquid/lifestyle.avif","assets/products/core-recovery-cbd-muscle-relief-liquid/supplement-facts.avif","assets/products/core-recovery-cbd-muscle-relief-liquid/label-closeup.avif"
"core-recovery-ashwagandha-capsules","Core Recovery Ashwagandha Capsules","assets/products/core-recovery-ashwagandha-capsules/primary.avif","assets/products/core-recovery-ashwagandha-capsules/lifestyle.avif","assets/products/core-recovery-ashwagandha-capsules/supplement-facts.avif","assets/products/core-recovery-ashwagandha-capsules/label-closeup.avif"
"core-base-multivitamin-gummies","Core Base Multivitamin Gummies","assets/products/core-base-multivitamin-gummies/primary.avif","assets/products/core-base-multivitamin-gummies/lifestyle.avif","assets/products/core-base-multivitamin-gummies/supplement-facts.avif","assets/products/core-base-multivitamin-gummies/label-closeup.avif"
"core-base-elderberry-gummies","Core Base Elderberry Gummies","assets/products/core-base-elderberry-gummies/primary.avif","assets/products/core-base-elderberry-gummies/lifestyle.avif","assets/products/core-base-elderberry-gummies/supplement-facts.avif","assets/products/core-base-elderberry-gummies/label-closeup.avif"
"core-recovery-melatonin-sleep-gummies","Core Recovery Melatonin Sleep Gummies","assets/products/core-recovery-melatonin-sleep-gummies/primary.avif","assets/products/core-recovery-melatonin-sleep-gummies/lifestyle.avif","assets/products/core-recovery-melatonin-sleep-gummies/supplement-facts.avif","assets/products/core-recovery-melatonin-sleep-gummies/label-closeup.avif"
"core-focus-apple-cider-vinegar-gummies","Core Focus Apple Cider Vinegar Gummies","assets/products/core-focus-apple-cider-vinegar-gummies/primary.avif","assets/products/core-focus-apple-cider-vinegar-gummies/lifestyle.avif","assets/products/core-focus-apple-cider-vinegar-gummies/supplement-facts.avif","assets/products/core-focus-apple-cider-vinegar-gummies/label-closeup.avif"
"core-recovery-collagen-gummies","Core Recovery Collagen Gummies","assets/products/core-recovery-collagen-gummies/primary.avif","assets/products/core-recovery-collagen-gummies/lifestyle.avif","assets/products/core-recovery-collagen-gummies/supplement-facts.avif","assets/products/core-recovery-collagen-gummies/label-closeup.avif"
"core-base-probiotic-40-billion-capsules","Core Base Probiotic 40 Billion Capsules","assets/products/core-base-probiotic-40-billion-capsules/primary.avif","assets/products/core-base-probiotic-40-billion-capsules/lifestyle.avif","assets/products/core-base-probiotic-40-billion-capsules/supplement-facts.avif","assets/products/core-base-probiotic-40-billion-capsules/label-closeup.avif"
"core-recovery-magnesium-glycinate-capsules","Core Recovery Magnesium Glycinate Capsules","assets/products/core-recovery-magnesium-glycinate-capsules/primary.avif","assets/products/core-recovery-magnesium-glycinate-capsules/lifestyle.avif","assets/products/core-recovery-magnesium-glycinate-capsules/supplement-facts.avif","assets/products/core-recovery-magnesium-glycinate-capsules/label-closeup.avif"
"core-base-vitamin-d3-plus-k2-capsules","Core Base Vitamin D3 Plus K2 Capsules","assets/products/core-base-vitamin-d3-plus-k2-capsules/primary.avif","assets/products/core-base-vitamin-d3-plus-k2-capsules/lifestyle.avif","assets/products/core-base-vitamin-d3-plus-k2-capsules/supplement-facts.avif","assets/products/core-base-vitamin-d3-plus-k2-capsules/label-closeup.avif"
"core-base-b12-capsules","Core Base B12 Capsules","assets/products/core-base-b12-capsules/primary.avif","assets/products/core-base-b12-capsules/lifestyle.avif","assets/products/core-base-b12-capsules/supplement-facts.avif","assets/products/core-base-b12-capsules/label-closeup.avif"
"core-base-biotin-5000mcg-capsules","Core Base Biotin 5000mcg Capsules","assets/products/core-base-biotin-5000mcg-capsules/primary.avif","assets/products/core-base-biotin-5000mcg-capsules/lifestyle.avif","assets/products/core-base-biotin-5000mcg-capsules/supplement-facts.avif","assets/products/core-base-biotin-5000mcg-capsules/label-closeup.avif"
"core-base-omega-3-fish-oil-softgels","Core Base Omega-3 Fish Oil Softgels","assets/products/core-base-omega-3-fish-oil-softgels/primary.avif","assets/products/core-base-omega-3-fish-oil-softgels/lifestyle.avif","assets/products/core-base-omega-3-fish-oil-softgels/supplement-facts.avif","assets/products/core-base-omega-3-fish-oil-softgels/label-closeup.avif"
"core-base-zinc-gluconate-capsules","Core Base Zinc Gluconate Capsules","assets/products/core-base-zinc-gluconate-capsules/primary.avif","assets/products/core-base-zinc-gluconate-capsules/lifestyle.avif","assets/products/core-base-zinc-gluconate-capsules/supplement-facts.avif","assets/products/core-base-zinc-gluconate-capsules/label-closeup.avif"
"core-base-iron-capsules","Core Base Iron Capsules","assets/products/core-base-iron-capsules/primary.avif","assets/products/core-base-iron-capsules/lifestyle.avif","assets/products/core-base-iron-capsules/supplement-facts.avif","assets/products/core-base-iron-capsules/label-closeup.avif"
"core-base-mushroom-capsules","Core Base Mushroom Capsules","assets/products/core-base-mushroom-capsules/primary.avif","assets/products/core-base-mushroom-capsules/lifestyle.avif","assets/products/core-base-mushroom-capsules/supplement-facts.avif","assets/products/core-base-mushroom-capsules/label-closeup.avif"
"core-recovery-greens-powder","Core Recovery Greens Powder","assets/products/core-recovery-greens-powder/primary.avif","assets/products/core-recovery-greens-powder/lifestyle.avif","assets/products/core-recovery-greens-powder/supplement-facts.avif","assets/products/core-recovery-greens-powder/label-closeup.avif"
"core-performance-whey-protein-vanilla-powder","Core Performance Whey Protein Vanilla Powder","assets/products/core-performance-whey-protein-vanilla-powder/primary.avif","assets/products/core-performance-whey-protein-vanilla-powder/lifestyle.avif","assets/products/core-performance-whey-protein-vanilla-powder/supplement-facts.avif","assets/products/core-performance-whey-protein-vanilla-powder/label-closeup.avif"
"core-performance-whey-protein-chocolate-powder","Core Performance Whey Protein Chocolate Powder","assets/products/core-performance-whey-protein-chocolate-powder/primary.avif","assets/products/core-performance-whey-protein-chocolate-powder/lifestyle.avif","assets/products/core-performance-whey-protein-chocolate-powder/supplement-facts.avif","assets/products/core-performance-whey-protein-chocolate-powder/label-closeup.avif"
"core-focus-pre-workout-blue-raz-powder","Core Focus Pre Workout Blue Raz Powder","assets/products/core-focus-pre-workout-blue-raz-powder/primary.avif","assets/products/core-focus-pre-workout-blue-raz-powder/lifestyle.avif","assets/products/core-focus-pre-workout-blue-raz-powder/supplement-facts.avif","assets/products/core-focus-pre-workout-blue-raz-powder/label-closeup.avif"
"core-focus-pre-workout-fruit-punch-powder","Core Focus Pre Workout Fruit Punch Powder","assets/products/core-focus-pre-workout-fruit-punch-powder/primary.avif","assets/products/core-focus-pre-workout-fruit-punch-powder/lifestyle.avif","assets/products/core-focus-pre-workout-fruit-punch-powder/supplement-facts.avif","assets/products/core-focus-pre-workout-fruit-punch-powder/label-closeup.avif"
"core-recovery-post-workout-recovery-powder","Core Recovery Post-workout Recovery Powder","assets/products/core-recovery-post-workout-recovery-powder/primary.avif","assets/products/core-recovery-post-workout-recovery-powder/lifestyle.avif","assets/products/core-recovery-post-workout-recovery-powder/supplement-facts.avif","assets/products/core-recovery-post-workout-recovery-powder/label-closeup.avif"
"core-performance-bcaa-powder","Core Performance BCAA Powder","assets/products/core-performance-bcaa-powder/primary.avif","assets/products/core-performance-bcaa-powder/lifestyle.avif","assets/products/core-performance-bcaa-powder/supplement-facts.avif","assets/products/core-performance-bcaa-powder/label-closeup.avif"
"core-performance-creatine-monohydrate-capsules","Core Performance Creatine Monohydrate Capsules","assets/products/core-performance-creatine-monohydrate-capsules/primary.avif","assets/products/core-performance-creatine-monohydrate-capsules/lifestyle.avif","assets/products/core-performance-creatine-monohydrate-capsules/supplement-facts.avif","assets/products/core-performance-creatine-monohydrate-capsules/label-closeup.avif"
"core-focus-metabolic-ignite-capsules","Core Focus Metabolic Ignite Capsules","assets/products/core-focus-metabolic-ignite-capsules/primary.avif","assets/products/core-focus-metabolic-ignite-capsules/lifestyle.avif","assets/products/core-focus-metabolic-ignite-capsules/supplement-facts.avif","assets/products/core-focus-metabolic-ignite-capsules/label-closeup.avif"
"core-focus-keto-balance-capsules","Core Focus Keto Balance Capsules","assets/products/core-focus-keto-balance-capsules/primary.avif","assets/products/core-focus-keto-balance-capsules/lifestyle.avif","assets/products/core-focus-keto-balance-capsules/supplement-facts.avif","assets/products/core-focus-keto-balance-capsules/label-closeup.avif"
"core-recovery-digestive-enzymes-capsules","Core Recovery Digestive Enzymes Capsules","assets/products/core-recovery-digestive-enzymes-capsules/primary.avif","assets/products/core-recovery-digestive-enzymes-capsules/lifestyle.avif","assets/products/core-recovery-digestive-enzymes-capsules/supplement-facts.avif","assets/products/core-recovery-digestive-enzymes-capsules/label-closeup.avif"
"core-recovery-milk-thistle-capsules","Core Recovery Milk Thistle Capsules","assets/products/core-recovery-milk-thistle-capsules/primary.avif","assets/products/core-recovery-milk-thistle-capsules/lifestyle.avif","assets/products/core-recovery-milk-thistle-capsules/supplement-facts.avif","assets/products/core-recovery-milk-thistle-capsules/label-closeup.avif"
"core-base-horny-goat-weed-capsules","Core Base Horny Goat Weed Capsules","assets/products/core-base-horny-goat-weed-capsules/primary.avif","assets/products/core-base-horny-goat-weed-capsules/lifestyle.avif","assets/products/core-base-horny-goat-weed-capsules/supplement-facts.avif","assets/products/core-base-horny-goat-weed-capsules/label-closeup.avif"
"core-performance-testosterone-balance-capsules","Core Performance Testosterone Balance Capsules","assets/products/core-performance-testosterone-balance-capsules/primary.avif","assets/products/core-performance-testosterone-balance-capsules/lifestyle.avif","assets/products/core-performance-testosterone-balance-capsules/supplement-facts.avif","assets/products/core-performance-testosterone-balance-capsules/label-closeup.avif"
"core-base-hair-skin-and-nails-capsules","Core Base Hair Skin And Nails Capsules","assets/products/core-base-hair-skin-and-nails-capsules/primary.avif","assets/products/core-base-hair-skin-and-nails-capsules/lifestyle.avif","assets/products/core-base-hair-skin-and-nails-capsules/supplement-facts.avif","assets/products/core-base-hair-skin-and-nails-capsules/label-closeup.avif"
"core-recovery-joint-matrix-capsules","Core Recovery Joint Matrix Capsules","assets/products/core-recovery-joint-matrix-capsules/primary.avif","assets/products/core-recovery-joint-matrix-capsules/lifestyle.avif","assets/products/core-recovery-joint-matrix-capsules/supplement-facts.avif","assets/products/core-recovery-joint-matrix-capsules/label-closeup.avif"
"core-base-immune-matrix-capsules","Core Base Immune Matrix Capsules","assets/products/core-base-immune-matrix-capsules/primary.avif","assets/products/core-base-immune-matrix-capsules/lifestyle.avif","assets/products/core-base-immune-matrix-capsules/supplement-facts.avif","assets/products/core-base-immune-matrix-capsules/label-closeup.avif"
"core-focus-vision-matrix-capsules","Core Focus Vision Matrix Capsules","assets/products/core-focus-vision-matrix-capsules/primary.avif","assets/products/core-focus-vision-matrix-capsules/lifestyle.avif","assets/products/core-focus-vision-matrix-capsules/supplement-facts.avif","assets/products/core-focus-vision-matrix-capsules/label-closeup.avif"
"core-focus-nootropic-brain-capsules","Core Focus Nootropic Brain Capsules","assets/products/core-focus-nootropic-brain-capsules/primary.avif","assets/products/core-focus-nootropic-brain-capsules/lifestyle.avif","assets/products/core-focus-nootropic-brain-capsules/supplement-facts.avif","assets/products/core-focus-nootropic-brain-capsules/label-closeup.avif"
"core-recovery-liver-matrix-capsules","Core Recovery Liver Matrix Capsules","assets/products/core-recovery-liver-matrix-capsules/primary.avif","assets/products/core-recovery-liver-matrix-capsules/lifestyle.avif","assets/products/core-recovery-liver-matrix-capsules/supplement-facts.avif","assets/products/core-recovery-liver-matrix-capsules/label-closeup.avif"
"core-base-kidney-matrix-capsules","Core Base Kidney Matrix Capsules","assets/products/core-base-kidney-matrix-capsules/primary.avif","assets/products/core-base-kidney-matrix-capsules/lifestyle.avif","assets/products/core-base-kidney-matrix-capsules/supplement-facts.avif","assets/products/core-base-kidney-matrix-capsules/label-closeup.avif"
"core-base-prostate-matrix-capsules","Core Base Prostate Matrix Capsules","assets/products/core-base-prostate-matrix-capsules/primary.avif","assets/products/core-base-prostate-matrix-capsules/lifestyle.avif","assets/products/core-base-prostate-matrix-capsules/supplement-facts.avif","assets/products/core-base-prostate-matrix-capsules/label-closeup.avif"
"core-base-mens-daily-multi-capsules","Core Base Mens Daily Multi Capsules","assets/products/core-base-mens-daily-multi-capsules/primary.avif","assets/products/core-base-mens-daily-multi-capsules/lifestyle.avif","assets/products/core-base-mens-daily-multi-capsules/supplement-facts.avif","assets/products/core-base-mens-daily-multi-capsules/label-closeup.avif"
"core-base-womens-daily-multi-capsules","Core Base Womens Daily Multi Capsules","assets/products/core-base-womens-daily-multi-capsules/primary.avif","assets/products/core-base-womens-daily-multi-capsules/lifestyle.avif","assets/products/core-base-womens-daily-multi-capsules/supplement-facts.avif","assets/products/core-base-womens-daily-multi-capsules/label-closeup.avif"
"core-base-vitamin-c-with-rose-hips-capsules","Core Base Vitamin C With Rose Hips Capsules","assets/products/core-base-vitamin-c-with-rose-hips-capsules/primary.avif","assets/products/core-base-vitamin-c-with-rose-hips-capsules/lifestyle.avif","assets/products/core-base-vitamin-c-with-rose-hips-capsules/supplement-facts.avif","assets/products/core-base-vitamin-c-with-rose-hips-capsules/label-closeup.avif"
"core-base-coq10-softgels","Core Base COQ10 Softgels","assets/products/core-base-coq10-softgels/primary.avif","assets/products/core-base-coq10-softgels/lifestyle.avif","assets/products/core-base-coq10-softgels/supplement-facts.avif","assets/products/core-base-coq10-softgels/label-closeup.avif"
"core-base-resveratrol-capsules","Core Base Resveratrol Capsules","assets/products/core-base-resveratrol-capsules/primary.avif","assets/products/core-base-resveratrol-capsules/lifestyle.avif","assets/products/core-base-resveratrol-capsules/supplement-facts.avif","assets/products/core-base-resveratrol-capsules/label-closeup.avif"
"core-base-garlic-capsules","Core Base Garlic Capsules","assets/products/core-base-garlic-capsules/primary.avif","assets/products/core-base-garlic-capsules/lifestyle.avif","assets/products/core-base-garlic-capsules/supplement-facts.avif","assets/products/core-base-garlic-capsules/label-closeup.avif"
"core-focus-gingko-biloba-capsules","Core Focus Gingko Biloba Capsules","assets/products/core-focus-gingko-biloba-capsules/primary.avif","assets/products/core-focus-gingko-biloba-capsules/lifestyle.avif","assets/products/core-focus-gingko-biloba-capsules/supplement-facts.avif","assets/products/core-focus-gingko-biloba-capsules/label-closeup.avif"
"core-focus-ginseng-capsules","Core Focus Ginseng Capsules","assets/products/core-focus-ginseng-capsules/primary.avif","assets/products/core-focus-ginseng-capsules/lifestyle.avif","assets/products/core-focus-ginseng-capsules/supplement-facts.avif","assets/products/core-focus-ginseng-capsules/label-closeup.avif"
"core-recovery-saw-palmetto-capsules","Core Recovery Saw Palmetto Capsules","assets/products/core-recovery-saw-palmetto-capsules/primary.avif","assets/products/core-recovery-saw-palmetto-capsules/lifestyle.avif","assets/products/core-recovery-saw-palmetto-capsules/supplement-facts.avif","assets/products/core-recovery-saw-palmetto-capsules/label-closeup.avif"
"core-base-cranberry-capsules","Core Base Cranberry Capsules","assets/products/core-base-cranberry-capsules/primary.avif","assets/products/core-base-cranberry-capsules/lifestyle.avif","assets/products/core-base-cranberry-capsules/supplement-facts.avif","assets/products/core-base-cranberry-capsules/label-closeup.avif"
"core-recovery-glucosamine-chondroitin-capsules","Core Recovery Glucosamine Chondroitin Capsules","assets/products/core-recovery-glucosamine-chondroitin-capsules/primary.avif","assets/products/core-recovery-glucosamine-chondroitin-capsules/lifestyle.avif","assets/products/core-recovery-glucosamine-chondroitin-capsules/supplement-facts.avif","assets/products/core-recovery-glucosamine-chondroitin-capsules/label-closeup.avif"
"core-recovery-hyaluronic-acid-capsules","Core Recovery Hyaluronic Acid Capsules","assets/products/core-recovery-hyaluronic-acid-capsules/primary.avif","assets/products/core-recovery-hyaluronic-acid-capsules/lifestyle.avif","assets/products/core-recovery-hyaluronic-acid-capsules/supplement-facts.avif","assets/products/core-recovery-hyaluronic-acid-capsules/label-closeup.avif"
"core-focus-mct-oil-liquid","Core Focus MCT Oil Liquid","assets/products/core-focus-mct-oil-liquid/primary.avif","assets/products/core-focus-mct-oil-liquid/lifestyle.avif","assets/products/core-focus-mct-oil-liquid/supplement-facts.avif","assets/products/core-focus-mct-oil-liquid/label-closeup.avif"
